Áö¿ª	³Ã¸é	ºñºö¹ä	±èÄ¡Âî°³	»ï°ã»ì	ÀÚÀå¸é	»ï°èÅÁ	Ä®±¹¼ö	±è¹ä
1	9731	9154	7077	16897	5692	14231	7615	2731
2	8400	8700	7100	13600	5700	14600	7400	2800
3	9000	9050	6667	13658	5167	14333	6250	2333
4	8600	9400	6700	16583	5600	13000	6200	2600
5	9429	7700	6714	14168	5214	14143	6071	2429
6	8300	8200	7200	14969	5900	13200	7400	2700
7	9167	7817	6667	15496	5667	14167	6917	2667
8	8389	7944	7167	13407	5278	13444	7500	2444
9	8897	7797	6931	15455	5793	14414	7621	2741
10	8808	7577	7269	15148	5231	14154	6308	2931
11	8346	7800	7192	14162	5346	13077	6846	2538
12	7667	7778	6556	16139	6000	14333	7333	2167
13	8200	9350	7350	14323	5400	14300	7350	2350
14	8300	8250	7200	14794	5500	13800	7100	2500
15	7643	7743	7286	12663	5143	12286	6500	2357
16	8750	8500	8125	15667	6000	13000	8250	2750
